Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,1974,M04,1974 Apr,48.10,10.1
CUSR0000SA0,1974,M05,1974 May,48.60,10.7
CUSR0000SA0,1974,M06,1974 Jun,49.00,10.9
CUSR0000SA0,1974,M07,1974 Jul,49.30,11.5
CUSR0000SA0,1974,M08,1974 Aug,49.90,10.9
CUSR0000SA0,1974,M09,1974 Sep,50.60,11.9
CUSR0000SA0,1974,M10,1974 Oct,51.00,11.8
CUSR0000SA0,1974,M11,1974 Nov,51.50,12.2
CUSR0000SA0,1974,M12,1974 Dec,51.90,12.1
CUSR0000SA0,1975,M01,1975 Jan,52.30,11.8
CUSR0000SA0,1975,M02,1975 Feb,52.60,11.2
CUSR0000SA0,1975,M03,1975 Mar,52.80,10.5
CUSR0000SA0,1975,M04,1975 Apr,53.00,10.2
CUSR0000SA0,1975,M05,1975 May,53.10,9.3
CUSR0000SA0,1975,M06,1975 Jun,53.50,9.2
CUSR0000SA0,1975,M07,1975 Jul,54.00,9.5
CUSR0000SA0,1975,M08,1975 Aug,54.20,8.6
CUSR0000SA0,1975,M09,1975 Sep,54.60,7.9
CUSR0000SA0,1975,M10,1975 Oct,54.90,7.6
CUSR0000SA0,1975,M11,1975 Nov,55.30,7.4
CUSR0000SA0,1975,M12,1975 Dec,55.60,7.1
CUSR0000SA0,1976,M01,1976 Jan,55.80,6.7
CUSR0000SA0,1976,M02,1976 Feb,55.90,6.3
CUSR0000SA0,1976,M03,1976 Mar,56.00,6.1
CUSR0000SA0,1976,M04,1976 Apr,56.10,5.8
CUSR0000SA0,1976,M05,1976 May,56.40,6.2
CUSR0000SA0,1976,M06,1976 Jun,56.70,6.0
CUSR0000SA0,1976,M07,1976 Jul,57.00,5.6
CUSR0000SA0,1976,M08,1976 Aug,57.30,5.7
CUSR0000SA0,1976,M09,1976 Sep,57.60,5.5
CUSR0000SA0,1976,M10,1976 Oct,57.90,5.5
CUSR0000SA0,1976,M11,1976 Nov,58.10,5.1
CUSR0000SA0,1976,M12,1976 Dec,58.40,5.0
CUSR0000SA0,1977,M01,1977 Jan,58.70,5.2
CUSR0000SA0,1977,M02,1977 Feb,59.30,6.1
CUSR0000SA0,1977,M03,1977 Mar,59.60,6.4
CUSR0000SA0,1977,M04,1977 Apr,60.00,7.0
CUSR0000SA0,1977,M05,1977 May,60.20,6.7
CUSR0000SA0,1977,M06,1977 Jun,60.50,6.7
CUSR0000SA0,1977,M07,1977 Jul,60.80,6.7
CUSR0000SA0,1977,M08,1977 Aug,61.10,6.6
CUSR0000SA0,1977,M09,1977 Sep,61.30,6.4
CUSR0000SA0,1977,M10,1977 Oct,61.60,6.4
CUSR0000SA0,1977,M11,1977 Nov,62.00,6.7
CUSR0000SA0,1977,M12,1977 Dec,62.30,6.7
CUSR0000SA0,1978,M01,1978 Jan,62.70,6.8
CUSR0000SA0,1978,M02,1978 Feb,63.00,6.2
CUSR0000SA0,1978,M03,1978 Mar,63.40,6.4
CUSR0000SA0,1978,M04,1978 Apr,63.90,6.5
CUSR0000SA0,1978,M05,1978 May,64.50,7.1
CUSR0000SA0,1978,M06,1978 Jun,65.00,7.4
CUSR0000SA0,1978,M07,1978 Jul,65.50,7.7
